"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",1,3622.0719553747067,56.87138161025948,-2808.2060381463743,-156.0196833235698,83.46153711613715,206.1171415961846,-68.95926959622645
"error",0,0.8102800403479112,"",16.107271890993864,0.21381631782948063,3.261076379540082,43.54541003666961,1.997003122155522
"",1,3621.9978617811084,56.03690414026773,-2809.356607482383,-155.8415035733312,80.91379300903111,208.12966131819408,-68.88364084315907
"",1,3621.8743680599086,53.14552549654576,-2808.4699949535343,-155.95063900894218,83.53403765484248,214.3398200765241,-69.29667230167446
"",1,3623.6927541332107,58.145634297714736,-2809.5513650146017,-156.24905283465517,85.04720706332877,203.2182598010258,-68.87321866123972
"",1,3622.3382965826763,58.871197168056916,-2808.9322076251683,-156.16182594298857,87.35371421502086,208.19814134799296,-68.62548012906691
"",1,3621.4280480222646,56.66083056127892,-2805.8420498174055,-155.87091321027958,80.4415949246715,198.87138352352795,-68.99455780405091
"",1,3621.0355453326406,62.49167848524647,-2807.218397091252,-155.80958831850086,81.08027446006837,203.37033276298052,-68.98138297894982
"",1,3621.4803254131593,53.41067156879997,-2808.0550482388594,-155.89520105749702,80.62254738210743,205.24542782047578,-68.92246777559876
"",1,3622.7284436726823,56.20861116416539,-2808.222634947791,-156.37874264236396,88.6991282200268,207.56410611875572,-69.09673627607198
