"","Saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",5,3622.1868407525826,60.600509908226066,-2807.820395955428,-156.15320130184853,86.0104341061969,202.26482134800756,-68.76984998581582
"error",0,0.6319395593363537,"",16.14647084697051,0.05895156167874295,2.0717470188556666,46.93588801781939,1.6321478524461575
"",5,3624.1760827962057,58.85265533327872,-2810.941781063338,-156.2694064058748,82.22062292798775,211.45392674062006,-68.92544107957684
"",5,3621.2872203052852,57.054503690332766,-2805.14573526382,-156.06062120473467,88.67978403754022,195.62721493963778,-68.72383491018601
"",5,3622.250109340093,63.03087351174711,-2809.07637016226,-155.99564747035123,83.07280628803468,206.77661983403516,-68.7459766894133
"",5,3624.12210851799,60.50425677422395,-2810.4830838081257,-156.25348277900198,82.48236648792401,202.89624514391602,-68.65666559642894
"",5,3621.3895427136754,64.36669894493022,-2811.6682652566224,-155.94623776464238,82.13506473181708,215.72189540881328,-68.63872549977641
"",5,3621.734957387367,58.73834674793717,-2801.17584764691,-156.44032938246391,93.59106497984143,186.50502487643266,-69.2541896373771
"",5,3620.687326690226,60.31768316697571,-2805.7678038853655,-156.32337595608536,95.88769701192294,199.62355371347567,-68.81753902218003
"",5,3621.847378269821,61.9390610963829,-2808.304280556982,-155.93650945163387,80.01406638450719,199.51409012712992,-68.39642745158801
