"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",5,3571.5931950528857,39.99132359055678,-2800.3711065705093,-157.05194517186465,75.82288741325686,188.05267223883612,-69.33013078244966
"error",0,0.26376709741705107,"",6.5453511060335545,0.03111786012758464,0.8223859848500407,18.152697167710546,0.7689163112320959
"",5,3572.0958929575277,46.06337784147738,-2800.336036488263,-157.05429444111326,75.85244547090838,188.34546526480628,-69.31035696719859
"",5,3572.026995125802,37.41720170257191,-2800.5558041171175,-157.05308224756402,75.44047052899585,187.3859570640955,-69.25110179503251
"",5,3571.9732199713476,42.47998357425285,-2800.005397459976,-157.06403896617883,76.07017006787166,186.85703398607103,-69.2279004318893
"",5,3571.974369641462,38.3507688867048,-2801.156292331933,-157.03254411371375,76.06069923429055,188.41112942189858,-69.45379758177994
"",5,3571.1650419549974,37.57011811879176,-2800.1358772428125,-157.04132360957067,75.88495180617193,187.99099035797948,-69.27732636084228
"",5,3571.1883261339603,39.57319059563118,-2800.584492318841,-157.06645406846624,76.05037570216288,189.42062558386164,-69.36441849299017
"",5,3571.1959021735897,39.50703210038485,-2799.6807349862966,-157.02075617916356,75.81138532782866,188.40708977555195,-69.38739861415769
"",5,3571.1258124643978,38.96891590463953,-2800.514217618833,-157.08306774914698,75.4126011678249,187.60308645642473,-69.36874601570675
