"","value","error"
"voltage",1,0
"fcog",4091.9901482327496,9.254094048406037e6
"gamma","Mean[{75.7077506183623, 98.51971541051796, 82.1424288987372, 83.48313622253396}[[All,1,{80.95112089742688, 84.23892324976836, 84.24868497598649, 84.71572019458378},All,1]]]","Max[{75.7077506183623, 98.51971541051796, 82.1424288987372, 83.48313622253396}[[All,1]], {80.95112089742688, 84.23892324976836, 84.24868497598649, 84.71572019458378}[[All,1]]] - Min[{75.7077506183623, 98.51971541051796, 82.1424288987372, 83.48313622253396}[[All,1]], {80.95112089742688, 84.23892324976836, 84.24868497598649, 84.71572019458378}[[All,1]]] + 2*{75.7077506183623, 98.51971541051796, 82.1424288987372, 83.48313622253396}[[All,2,{80.95112089742688, 84.23892324976836, 84.24868497598649, 84.71572019458378},All,2]]"
"isotope shift",-2975.971369200629,3.445384829843031
