"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",250,4089.8004020019034,20.225201470901613,-2975.6728507599837,-218.65293535647334,-292.82948442831145,-753.0269933666802,-97.04427547154202
"error",0,0.16674148355369742,"",8.514655425584959,0.028489048480807258,0.6379240012743775,24.506787861936754,1.4342104141240757
"",250,4090.588832486674,32.481933471349436,-2976.4438953205017,-218.59459659236146,-292.65472916466837,-755.5498349538872,-97.09470031455174
"",250,4089.8492677671816,18.962917282473118,-2974.9575840012603,-218.69234839143903,-292.9393888967064,-753.4287147656031,-96.81464978084021
"",250,4089.8087344642745,17.607132640777586,-2975.7510673361435,-218.75230397127856,-294.9817645283846,-752.2774764237857,-96.85217086983918
"",250,4090.092076853772,29.857657194592147,-2976.198455016319,-218.63001391907687,-291.62865519883513,-752.8400853280716,-96.90244904299392
"",250,4089.455887480753,16.367005366260464,-2976.0327288244903,-218.63995749162342,-292.4159776361604,-748.122909472791,-96.89357437269065
"",250,4089.751258962095,23.364045801744215,-2975.970300368899,-218.64485596510124,-293.6182825527408,-754.7352046520174,-97.35725813176919
"",250,4089.0261502316066,28.64239148758714,-2974.8843783706247,-218.66314385094978,-291.82802907452964,-749.9048682892142,-96.82727888565034
"",250,4089.8310077688698,-5.481471477571216,-2975.144396841626,-218.60626266995638,-292.5690483744661,-757.3568530480715,-97.61212237400093
