"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",170,4090.0585365179486,21.32617661301192,-2975.872894418381,-218.68491510935627,-292.8159655499956,-754.0979969630237,-96.81922857037475
"error",0,0.12937592983454993,"",5.865765990677833,0.023339712466723315,0.513384772194425,17.41178830898347,0.927387123682764
"",170,4090.1955517382894,20.2132100374272,-2975.184538439339,-218.7078674512844,-292.7032640565114,-751.7828957812063,-96.75301645078984
"",170,4090.2390619895973,23.016979625961277,-2976.008369578703,-218.739906689711,-294.1478671829667,-753.4634244461533,-96.80506524754816
"",170,4090.175216378461,19.997088217523,-2975.530725238285,-218.721003623318,-293.20244068229806,-751.4747401369377,-96.73570602816577
"",170,4090.573431267882,23.470918720018496,-2976.801508022198,-218.63165054559843,-291.9669518395124,-758.9743991222523,-96.8064466780369
"",170,4089.5059642288857,22.84680748515163,-2974.886409452145,-218.71395110921821,-293.3917044844746,-753.6521051857111,-96.82132470165317
"",170,4089.5521461385683,17.653352290494247,-2975.789770052575,-218.65566588534526,-292.2788553249839,-755.3696657370033,-96.88377313635148
"",170,4089.842062880902,30.0871021195898,-2976.974533548782,-218.6195325791275,-291.97782143740017,-752.4487349355607,-96.89785974910075
"",170,4090.3848575210027,13.323954407929739,-2975.807301015021,-218.68974299124747,-292.8588193918176,-755.6180103593649,-96.85063657135201
