"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",350,3570.569554510855,44.23023842190711,-2800.6432132321424,-157.0631320975074,75.28870994216442,188.37682020579,-69.70004038381762
"error",0,0.5810005757488315,"",13.428446822334182,0.08082059848336122,1.8345514457057526,36.65276913233311,2.31105331522194
"",350,3571.1114629739814,44.036728415001235,-2802.6036597637344,-156.99786224149457,74.8473022475215,183.629038098623,-69.5658727445046
"",350,3570.8776378017856,38.20432505458058,-2802.3784840373564,-157.13189720715675,74.6900277596844,176.50355581908687,-69.67716890035227
"",350,3570.9458876854605,42.182322689553054,-2800.067722762516,-157.05399930728785,75.43455461513862,191.03655656119935,-69.46726644546538
"",350,3570.838283838215,44.71603763863665,-2799.5108911502884,-157.05299492742827,74.76294266838835,190.068267790259,-69.93675018099565
"",350,3570.4651227691843,46.95023353182449,-2802.2194538631697,-157.10133137873981,76.49623209252378,194.03755472405447,-69.88405437763902
"",350,3570.2381237400273,48.02288127529037,-2799.3572047352154,-157.03146501492446,75.15948851527651,205.02291827363294,-69.86220899543584
"",350,3569.7462172642286,47.0123072851375,-2800.126460064112,-157.08891336872716,75.2425409729716,184.6339321908109,-69.55844780409194
"",350,3570.3337000139586,42.717071485232964,-2798.8818294807447,-157.0465933343005,75.67659066581066,182.08273818865348,-69.64855362205634
