"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",170,3572.1177511740393,43.829789198931714,-2800.1005133322574,-157.01609932446627,75.11677266589281,194.8726599998227,-69.61358167740285
"error",0,0.2917185320456007,"",14.658002307248518,0.03596987892689846,0.8632432595098287,35.72967202149857,2.180705290380561
"",170,3572.9112012615474,39.23452918836118,-2801.869365232732,-157.02984160202345,74.27687299025261,191.5045352395615,-69.4630566287895
"",170,3572.45051693347,49.10637105348572,-2799.5918597214863,-157.02179899707278,75.2830789768433,193.53388000806524,-69.4300387737288
"",170,3572.7090389271066,44.35631031094145,-2801.060376064723,-157.02730337895267,74.48283743875066,197.19744858057373,-69.95349622001538
"",170,3572.3457439185577,45.91156570102191,-2800.1542669172004,-156.99087090591294,75.37867565642428,189.75245917177702,-69.41763766865655
"",170,3571.613522154497,45.508459254530564,-2801.021346627798,-157.00042807871222,75.07806409567513,198.62487251672152,-69.4170842260753
"",170,3571.627112544703,41.83463441441753,-2799.247804266815,-157.0221045364841,75.5664422338498,192.272883964761,-69.89275079906133
"",170,3571.748439768196,40.40438116133423,-2799.1034824120115,-157.0027256490768,74.79277285844796,192.94018251390577,-69.82812669389331
"",170,3571.5364338842387,44.28206250736109,-2798.7556054152956,-157.0337214474952,76.0754370768988,203.15501800321593,-69.5064624090026
