"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",250,3571.3415656126094,42.980384476093676,-2801.13735608553,-157.03584862527367,75.76101584801691,187.3595219406245,-69.33894455643353
"error",0,0.3043094797528708,"",8.79124186857487,0.041839417861727665,0.9291432725283424,25.167491729845363,1.5575059579187656
"",250,3571.8477427925877,40.07073851346002,-2799.8759666276605,-157.04502549521868,75.68424190129512,188.31030352734106,-69.34465301421012
"",250,3571.7275804476026,39.92518592176843,-2800.706636852509,-157.03915829488082,75.54341153817018,189.21336841427663,-69.18463861875534
"",250,3571.9101376240083,43.240313355422046,-2800.4442037932854,-157.08273085407995,76.50183514230248,187.99809317780853,-69.3188748082996
"",250,3571.7140332041586,40.92918916318519,-2800.7764212444267,-157.03292270892126,75.99294381625178,184.949771976039,-69.87862338259535
"",250,3570.825333530379,45.555883317367815,-2801.7964834548015,-156.99679127717192,75.45528649134758,184.28303437934076,-69.57753943591516
"",250,3570.7632355175883,45.340283958309115,-2800.3222318751873,-157.00548379236514,76.12782426195214,191.43334834101722,-69.43520094669941
"",250,3571.0885252674766,44.392571428982365,-2799.1458766743526,-157.03767094762998,75.67849313844839,183.9212814271576,-69.33533347400082
"",250,3570.8559365170727,44.388910150254446,-2806.031028162016,-157.0470056319216,75.10409049436758,188.7669742820154,-68.63669277099255
