"","saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",2,4089.805578047989,28.70258023444677,-2975.420750416333,-218.64435361425416,-291.87325313100166,-752.2857334763187,-96.82005130229501
"error",0,0.174415641170616,"",5.7777970782283266,0.029033974336212454,0.6341207705694952,20.749005957811136,0.9535453811951325
"",2,4090.2184657826283,40.83244820555472,-2975.9251453704787,-218.6308103168285,-291.6610711828189,-753.9703695515933,-96.81983963391237
"",2,4090.3019502140314,28.10613196915478,-2976.159001193065,-218.63597845231823,-291.95739106972707,-754.7223953720132,-96.91310464749523
"",2,4090.158895131925,23.397938047146308,-2975.156207741611,-218.64026274508865,-291.90292401011124,-752.2575693460445,-96.79239984495167
"",2,4090.382002816764,42.54865830424748,-2975.3608951836814,-218.64868787571476,-292.52841458205074,-750.2805039285507,-96.76298758732118
"",2,4089.2877589098985,23.551901581629803,-2975.438684180301,-218.64631747422888,-291.7939196102453,-751.1603646950463,-96.84563422217862
"",2,4089.3452881136604,20.143329602801366,-2975.28659059166,-218.65014580881626,-291.679880548013,-752.4801926601332,-96.84636299577254
"",2,4089.410097517629,28.357567659302223,-2974.990875914503,-218.64883018136766,-291.66415250752164,-752.2457398946324,-96.84118347428856
"",2,4089.340165897373,22.682666505737465,-2975.0486031553623,-218.6537960596704,-291.79827153752564,-751.1687323625356,-96.73889801244
