"","saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",3,4089.8760786656753,20.83082788975684,-2975.675115178938,-218.6578736616358,-292.3413064663011,-752.0482332564397,-96.81451780667334
"error",0,0.1579723330781351,"",4.441647264679312,0.026396630484292163,0.5916955460825651,15.28150100320141,0.7233699817929685
"",3,4090.5252781087975,9.162555889552632,-2975.9161929850025,-218.64384107067755,-292.66470563058795,-753.3102041693555,-96.76967417968575
"",3,4090.0847213550755,14.589640824914175,-2975.7942070267554,-218.7109875155597,-293.0649033161396,-750.605325552991,-96.76627241402397
"",3,4090.4638288046863,21.810526628873774,-2976.023913539582,-218.64767786368023,-291.9102036805335,-754.1778224164176,-96.8485604343589
"",3,4090.451210269984,31.844674837514926,-2975.6851572265987,-218.67477867312527,-292.8050683620072,-749.8376845319485,-96.7212718640985
"",3,4089.246105527723,22.052907704848334,-2975.6346176684046,-218.63806031225107,-291.7383954385701,-751.3837062184514,-96.88126123858156
"",3,4089.44286077512,26.048590218386888,-2975.4348261841674,-218.63225728548997,-291.58807469606484,-753.652164752634,-96.89313324963678
"",3,4089.2522233520613,20.74896561212906,-2975.3370121276016,-218.67869154977444,-292.98908199052477,-751.1820208408232,-96.77201071745431
"",3,4089.542401131952,20.388761401834927,-2975.5749946733918,-218.63669502252802,-291.9700186159809,-752.2369375688954,-96.86395835554683
