"","saturation","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",1,4089.6657364320226,28.427932092902914,-2975.668735356732,-218.70077525443668,-292.76841715968703,-752.8642399508635,-96.85804407110291
"error",0,0.2550034563491285,"",4.820381664292174,0.04497844758917362,0.9745222915190784,18.850329740574914,0.7946886114027603
"",1,4090.1748332117086,29.933340764522523,-2975.4759903304816,-218.66650329981607,-292.2245271693463,-751.9535845889037,-96.79563616241708
"",1,4089.9154597022252,27.121431902477124,-2975.7891769863872,-218.70226214649304,-293.12576739771816,-753.2133716607466,-96.89250873137472
"",1,4089.7569112411456,26.392677493695196,-2975.8466506904806,-218.72839968042572,-293.68506421576467,-753.2697862763335,-96.91882461236541
"",1,4090.2792943404693,40.6673663999664,-2975.8773760940403,-218.6659280895252,-291.9161442424813,-754.4364682998341,-96.84578035544176
"",1,4089.492344494464,22.38439046341149,-2975.4331457564613,-218.7467645762525,-292.46484633135105,-751.5685190069948,-96.84637790262433
"",1,4089.143702311067,27.25398804988165,-2975.8472620572284,-218.72173557682484,-293.2359367860584,-753.0709011585609,-96.91586519613571
"",1,4089.2552557628114,25.846005475295815,-2975.8025559024427,-218.7093115527441,-292.79051729846344,-752.5517764699927,-96.85151255500656
"",1,4089.3080903922887,27.824256193973113,-2975.2777250363356,-218.66529711341187,-292.70453383631286,-752.849512145542,-96.79784705345769
