"","value","error"
"voltage",200,5
"fcog",4091.3058865530775,5.905510216931532
"gamma",94.7789365031349,"{}"
"isotope shift",-2966.4126075558625,74.0332057059915
"AES",-218.77827538560302,0.44630684872395504
"BES",-297.5683662053934,12.1058956623517
"Ae153",-96.79320604312724,5.477004525117117
"Be153",-721.7746520828273,254.97990940069744
