"","Voltage","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",225,4089.979907778464,26.65166985798341,-2975.68902769535,-218.66097674149552,-293.0428292251814,-753.9080613948856,-96.85645393565551
"error",0,0.1738907837079066,"",3.785706186130162,0.025691991635977476,0.6428985774269096,10.560518682872218,0.6189464438442246
"",225,4090.1397772242076,19.165704183183273,-2976.423265759576,-218.67580888401903,-292.7555444968199,-754.9521918710508,-96.9363421429272
"",225,4090.320115847325,15.285846938019306,-2975.612988733396,-218.65053730397963,-292.66281659561054,-756.0707943256033,-96.78510785975695
"",225,4090.284704747855,16.4498189787208,-2975.7223414261607,-218.67512376662017,-292.937953923364,-751.2294420740088,-96.77661181406063
"",225,4090.2545371988153,35.88624020146636,-2975.6784972398577,-218.6553257568016,-292.4652763487965,-752.2965554572615,-96.82277016166925
"",225,4089.4466538399465,22.996634242235025,-2975.5694538592625,-218.6665442171221,-293.21278229591803,-752.6867610694062,-96.77444477842096
"",225,4089.9057759423604,31.847674724262745,-2975.5362277144923,-218.6491018598263,-293.50225573488694,-758.0184778101275,-97.06323699281853
"",225,4089.9521305504873,44.40464887253489,-2975.2769272611445,-218.65244805962894,-294.1224003607385,-753.808671008998,-96.86015015214598
"",225,4089.5355668767174,27.176790723444903,-2975.6925195689114,-218.66292408396646,-292.68360404531666,-752.2015975426287,-96.83296758344454
