"","value","error"
"voltage",250,0
"fcog",4089.968053977916,1.3307950838526428
"gamma",55.33985196005353,"{}"
"isotope shift",-2974.1657826199166,29.80327764986147
"AES",-218.64655186348966,0.1502145286440739
"BES",-292.23476287730153,2.3471343388134582
"BE153",-752.5470664448007,70.65772758667882
"AE153",-97.24763377283783,4.815577367601538
