"","Pressure","fcog","gamma","isotope shift","AES","BES","BE153","AE153"
"Mean value",250,4089.9846650895706,32.41369399056937,-2973.6459189761404,-218.64715582968304,-292.07593864562034,-746.1844037757666,-97.24826351549063
"error",0,0.15254346220374723,"",11.209493369058046,0.023321682276912867,0.542036259680266,23.209445495696368,1.9354976110125206
"",250,4090.37563511547,29.311999474422223,-2974.6837105288564,-218.63147428893083,-292.64910620310485,-746.6053153464968,-96.91025215263537
"",250,4090.5422455254584,35.319431495190415,-2973.424963613588,-218.66952152704906,-291.7909451415627,-745.8942166222511,-97.35656205713634
"",250,4090.3639963555206,33.69940792658991,-2965.8345181024906,-218.64826806835472,-291.7662401577402,-730.4877664452309,-98.43203264476429
"",250,4090.272273149026,30.492151332416547,-2975.9530482960504,-218.63099145974616,-292.0330868816769,-749.8830266134082,-96.68293358400025
"",250,4089.5911639001997,28.90476953446888,-2974.3096625517155,-218.64016763283234,-292.26349906720134,-745.9295507964442,-97.04239320324898
"",250,4089.575273819799,33.366728485622076,-2974.008917516325,-218.64466583801564,-292.0254377914131,-747.5261272813509,-97.25485491959475
"",250,4089.6590482041415,35.63847182882306,-2976.129429680373,-218.66378320929437,-291.72962972406634,-753.5572333526862,-97.16725058080794
"",250,4089.497684646948,32.576591847021874,-2974.8231015197225,-218.64837461324095,-292.3495641981972,-749.5919937482637,-97.13982898173724
